id,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
0,2345,TTEWTEAM--------------8FNL00070000--------,,Women's Team,OFFICIAL,,,
0,2345,TTEMTEAM--------------8FNL00080000--------,,Men's Team,OFFICIAL,,,
0,2345,TTEWTEAM--------------8FNL00080000--------,,Women's Team,OFFICIAL,,,
0,2345,TTEMTEAM--------------8FNL00030000--------,,Men's Team,OFFICIAL,,,
0,2345,TTEMTEAM--------------8FNL00020000--------,,Men's Team,OFFICIAL,,,
0,2345,TTEWTEAM--------------8FNL00040000--------,,Women's Team,OFFICIAL,,,
0,2345,TTEWTEAM--------------8FNL00010000--------,,Women's Team,OFFICIAL,,,
0,2345,TTEMTEAM--------------8FNL00040000--------,,Men's Team,OFFICIAL,,,
0,2345,TTEWTEAM--------------8FNL00050000--------,,Women's Team,OFFICIAL,,,
0,2345,TTEMTEAM--------------8FNL00070000--------,,Men's Team,OFFICIAL,,,
0,2345,TTEWTEAM--------------8FNL00060000--------,,Women's Team,OFFICIAL,,,
0,2345,TTEMSINGLES-----------FNL-000100----------,,Men Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------FNL-000200----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------FNL-000100----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------FNL-000200----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------SFNL000200----------,,Men Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------SFNL000100----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------SFNL000200----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------SFNL000100----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------QFNL000300----------,,Men Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------QFNL000400----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------QFNL000400----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------QFNL000200----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------QFNL000300----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------QFNL000100----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------QFNL000100----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------QFNL000200----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------8FNL000700----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------8FNL000800----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------8FNL000700----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------8FNL000600----------,,Men Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------8FNL000500----------,,Men Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------8FNL000800----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------8FNL000500----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------8FNL000600----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------8FNL000400----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------8FNL000400----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------8FNL000200----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------8FNL000100----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------8FNL000300----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------8FNL000300----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------8FNL000100----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------8FNL000200----------,,Men Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R32-001300----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R32-001400----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R32-001100----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R32-001600----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R32-001200----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R32-001200----------,,Men Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R32-001500----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R32-001100----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R32-001600----------,,Men Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R32-000900----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R32-001500----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R32-000900----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R32-000800----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R32-000600----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R32-000400----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R32-000100----------,,Men Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R32-000300----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R32-000300----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R32-000500----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R32-000700----------,,Women Singles,OFFICIAL,,,
0,2345,TTEXDOUBLES-----------FNL-000100----------,,Mixed Doubles,OFFICIAL,,,
0,2345,TTEXDOUBLES-----------FNL-000200----------,,Mixed Doubles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R32-000800----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R32-001300----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R32-001000----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R32-000600----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R32-000200----------,,Men Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R32-000700----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R32-000500----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R32-001400----------,,Men Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R32-001000----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R32-000200----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R32-000400----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R32-000100----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R64-001300----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R64-001100----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R64-001500----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R64-000900----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R64-001600----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R64-001500----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R64-001100----------,,Men Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R64-000900----------,,Men Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R64-001200----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R64-001400----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R64-001600----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R64-000700----------,,Women Singles,OFFICIAL,,,
0,2345,TTEXDOUBLES-----------SFNL000200----------,,Mixed Doubles,OFFICIAL,,,
0,2345,TTEXDOUBLES-----------SFNL000100----------,,Mixed Doubles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R64-000700----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R64-001000----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R64-000500----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R64-001200----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R64-000600----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R64-001300----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R64-000500----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R64-001000----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R64-000400----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R64-000600----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R64-000400----------,,Men Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R64-001400----------,,Men Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R64-000300----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R64-000200----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R64-000800----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R64-000200----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R64-000300----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R64-000800----------,,Men Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R64-000100----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R64-000100----------,,Women Singles,OFFICIAL,,,
0,2345,TTEXDOUBLES-----------QFNL000400----------,,Mixed Doubles,OFFICIAL,,,
0,2345,TTEXDOUBLES-----------QFNL000300----------,,Mixed Doubles,OFFICIAL,,,
0,2345,TTEXDOUBLES-----------QFNL000200----------,,Mixed Doubles,OFFICIAL,,,
0,2345,TTEXDOUBLES-----------QFNL000100----------,,Mixed Doubles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R128001600----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R128001600----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R128001100----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R128000500----------,,Men Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R128001500----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R128001300----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R128001400----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R128001200----------,,Men Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R128000700----------,,Men Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R128001100----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R128001500----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R128000400----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R128001000----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R128000700----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R128001400----------,,Men Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R128001300----------,,Men Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R128000100----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R128000900----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R128000800----------,,Men Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R128001000----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R128001200----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R128000800----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R128000600----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R128000600----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R128000900----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R128000300----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R128000300----------,,Men Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R128000400----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R128000500----------,,Women Singles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R128000200----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R128000100----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R128000200----------,,Women Singles,OFFICIAL,,,
0,2345,TTEXDOUBLES-----------8FNL000500----------,,Mixed Doubles,OFFICIAL,,,
0,2345,TTEXDOUBLES-----------8FNL000600----------,,Mixed Doubles,OFFICIAL,,,
0,2345,TTEXDOUBLES-----------8FNL000700----------,,Mixed Doubles,OFFICIAL,,,
0,2345,TTEXDOUBLES-----------8FNL000800----------,,Mixed Doubles,OFFICIAL,,,
0,2345,TTEXDOUBLES-----------8FNL000300----------,,Mixed Doubles,OFFICIAL,,,
0,2345,TTEXDOUBLES-----------8FNL000400----------,,Mixed Doubles,OFFICIAL,,,
0,2345,TTEXDOUBLES-----------8FNL000200----------,,Mixed Doubles,OFFICIAL,,,
0,2345,TTEMSINGLES-----------R256000500----------,,Men Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R256001600----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R256001100----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R256001400----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R256001000----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R256000700----------,,Women Singles,OFFICIAL,,,
0,2345,TTEWSINGLES-----------R256000400----------,,Women Singles,OFFICIAL,,,
